subnet_uid,top_miner_uid,incentive_amount
0,4,0.143541619181633
1,248,0.8876935839653015
2,14,0.8295567035675049
3,1,1.0
4,89,0.502357542514801
5,251,1.0
6,198,0.42085906863212585
7,53,1.0
8,229,0.9815976023674011
9,209,0.9039444327354431
10,201,1.0
11,74,1.0
12,59,0.9691309928894043
13,162,0.9049363136291504
14,29,0.9993133544921875
15,0,1.0
16,207,0.9937437772750854
17,120,1.0
18,56,0.9005417227745056
19,103,1.0
20,20,1.0
21,111,1.0
22,19,0.810238778591156
23,188,1.0
24,155,1.0
25,1,1.0
26,4,1.0
27,203,1.0
28,3,1.0
29,19,1.0
30,176,0.8370031118392944
31,0,1.0
32,166,0.005264362785965204
33,81,0.9068131446838379
34,135,0.40904858708381653
35,201,0.42317846417427063
36,5,0.930693507194519
37,200,1.0
38,118,0.539986252784729
39,204,1.0
40,65,1.0
41,210,0.9512932300567627
42,106,0.00804150477051735
43,74,1.0
44,6,1.0
45,189,1.0
46,238,1.0
47,0,1.0
48,22,0.5062485933303833
49,0,1.0
50,248,0.5335927605628967
51,187,0.08957045525312424
52,158,1.0
53,161,1.0
54,59,0.7594872713088989
55,119,1.0
56,38,0.5560539960861206
57,252,0.928709864616394
58,155,1.0
59,155,0.9500572085380554
60,113,1.0
61,254,0.8064392805099487
62,78,1.0
63,31,1.0
64,207,0.2048828899860382
65,0,0.808896005153656
66,0,0.9088578820228577
67,0,1.0
68,0,0.730479896068573
69,0,1.0
70,217,0.8379492163658142
71,0,0.06590371578931808
72,143,0.0045929658226668835
73,94,0.24283207952976227
74,0,0.529320240020752
75,0,0.0
76,0,1.0
77,132,0.2202945053577423
78,71,0.0045166704803705215
79,0,0.8099488615989685
80,77,0.16379034519195557
81,0,0.8408026099205017
82,0,0.3921873867511749
83,0,0.9400168061256409
84,0,1.0
85,0,0.33733120560646057
86,0,1.0
87,0,1.0
88,213,0.07013046741485596
89,0,0.0
90,0,1.0
91,0,1.0
92,0,1.0
93,0,0.7551689743995667
94,0,1.0
95,0,1.0
96,235,1.0
97,126,0.10698100179433823
98,0,1.0
99,0,1.0
100,0,1.0
101,0,1.0
102,0,1.0
103,0,0.966552197933197
104,54,1.0
105,0,1.0
106,2,0.00395208690315485
107,0,1.0
108,0,0.9371023178100586
109,0,1.0
110,0,1.0
111,0,0.26224154233932495
112,0,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,65,0.24998855590820312
117,0,0.9499961733818054
118,20,0.09916838258504868
119,0,1.0
120,105,0.30574503540992737
121,0,1.0
122,0,1.0
123,0,0.32660409808158875
124,0,1.0
125,0,1.0
126,0,1.0
127,0,0.9120774865150452
128,101,0.04458686336874962
